Game,Step,Reward
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0.01
0,10,0
0,11,0
0,12,0
0,13,0.01
0,14,0
0,15,0
0,16,0
0,17,0.01
0,18,0.01
0,19,0.01
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0.01
0,30,0.01
0,31,0.01
0,32,0.01
0,33,0.01
0,34,0.01
0,35,0.01
0,36,0.01
0,37,0.01
0,38,0.01
0,39,0.01
0,40,0.01
0,41,0
0,42,0.01
0,43,0.01
0,44,0.01
0,45,0.01
0,46,0
0,47,0.01
0,48,0
0,49,0
0,50,0.01
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0.01
0,60,0.01
0,61,0.01
0,62,0.01
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0.01
0,68,0
0,69,0.01
0,70,0.01
0,71,0.01
0,72,0
0,73,0
0,74,0.01
0,75,0
0,76,0.01
1,77,-1
1,1,0.01
1,2,0
1,3,0.01
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0.01
1,22,0.01
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0.01
1,43,0.01
1,44,0
1,45,0
1,46,0.01
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,0.01
1,53,0
1,54,0.01
1,55,0
1,56,0
1,57,0
1,58,0.01
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0.01
1,66,0
1,67,0.01
1,68,0.01
1,69,0.01
1,70,0
1,71,0
1,72,0.01
1,73,0.01
1,74,0
1,75,0
1,76,0
1,77,0
1,78,0
1,79,0
1,80,0.01
1,81,0.01
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0.01
1,87,0.01
1,88,0
1,89,0
1,90,0.01
1,91,0
1,92,0.01
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0.01
1,98,0
1,99,0
1,100,0.01
1,101,0.01
1,102,0
1,103,0.01
1,104,0.01
1,105,0.01
1,106,0.01
1,107,0
1,108,0.01
1,109,0
1,110,0.01
1,111,0.01
1,112,0.01
1,113,0.01
1,114,0
1,115,0.01
1,116,0.01
1,117,0.01
1,118,0
1,119,0.01
1,120,0.01
1,121,0
1,122,0
1,123,0.01
1,124,0.01
1,125,0
1,126,0
1,127,0
1,128,0.01
1,129,0.01
1,130,0
1,131,0.01
1,132,0.01
1,133,0
1,134,0
1,135,0
1,136,0
1,137,0
1,138,0.01
1,139,0.01
1,140,0
1,141,0
1,142,0
1,143,0.01
1,144,0.01
1,145,0
1,146,0
1,147,0
1,148,0.01
1,149,0.01
1,150,0.01
1,151,0.01
1,152,0
1,153,0
1,154,0
1,155,0
1,156,0
1,157,0
1,158,0
1,159,0
1,160,0
1,161,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,0
1,167,0
1,168,0
1,169,0
1,170,0
1,171,0.01
1,172,0.01
1,173,0.01
1,174,0.01
1,175,0.01
1,176,0.01
1,177,0
1,178,0
1,179,0.01
1,180,0.01
1,181,0.01
1,182,0
1,183,0
1,184,0.01
1,185,0
1,186,0.01
1,187,0
